['..\\..\\..\\git\\vrep-control-loop\\vrep-control-loop\\res\\equivalencesegmentationtest\\segmentationprogression\\sampleWholeRoute.pyplot', '..\\..\\..\\git\\vrep-control-loop\\vrep-control-loop\\res\\equivalencesegmentationtest\\segmentationprogression\\sampleWholeRouteSegmentation.pyplot']
True
theta1: 2.962577, theta2: -2.865947, dir: left, idx: 0 wrong
theta1: 3.101677, theta2: -2.921306, dir: left, idx: 1 wrong
theta1: -3.040069, theta2: -2.984901, dir: left, idx: 2 
theta1: -3.001674, theta2: -3.000321, dir: left, idx: 50 
theta1: -3.002442, theta2: -2.998497, dir: left, idx: 51 
theta1: -3.00321, theta2: -2.996672, dir: left, idx: 52
theta1: -3.003978, theta2: -2.994848, dir: left, idx: 53
theta1: -3.004747, theta2: -2.993024, dir: left, idx: 54
theta1: -3.004918, theta2: -2.991796, dir: left, idx: 55
theta1: -3.005579, theta2: -2.990079, dir: left, idx: 56
theta1: -3.006239, theta2: -2.988363, dir: left, idx: 57
theta1: -3.00612, theta2: -2.987425, dir: left, idx: 58 
theta1: -3.005943, theta2: -2.986546, dir: left, idx: 59 
theta1: -3.006433, theta2: -2.985, dir: left, idx: 60 
theta1: -3.006141, theta2: -2.984235, dir: left, idx: 61 
theta1: -3.00582, theta2: -2.983501, dir: left, idx: 62 
theta1: -3.005437, theta2: -2.982827, dir: left, idx: 63 
theta1: -3.004725, theta2: -2.982483, dir: left, idx: 64 
theta1: -3.003987, theta2: -2.982164, dir: left, idx: 65 
theta1: -3.00322, theta2: -2.981875, dir: left, idx: 66 
theta1: -3.001673, theta2: -2.982366, dir: left, idx: 67 
theta1: -3.000791, theta2: -2.982192, dir: left, idx: 68 
theta1: -2.999849, theta2: -2.982077, dir: left, idx: 69 
theta1: -2.998133, theta2: -2.982737, dir: left, idx: 70 
theta1: -2.996417, theta2: -2.983397, dir: left, idx: 71 
theta1: -2.995184, theta2: -2.983574, dir: left, idx: 72 
theta1: -2.993359, theta2: -2.984342, dir: left, idx: 73 
