class, amount
5aalc030002, 1
5ak1k040002, 1
5bacae030002, 1
5baja050002, 1
5bb050003, 1
5bbb020002, 1
5bbb050002, 3
5bbea040002, 1
5bbhe030002, 1
5bbhe060002, 1
5bbhg050003, 1
5beegq050002, 1
5behg030002, 1
5bejaa060002, 1
5bejab060002, 1
5bene020002, 1
5bheg020002, 1
5bheg030002, 1
5bhegf050002, 1
5bhgca050002, 1
5bneb060002, 1
5e9aa020003, 1
5eaaca040003, 1
5eaaeg010002, 1
5eaaeg050003, 1
5eaaeg060003, 1
5eaak060003, 1
5eaanb020002, 1
5eabb040003, 2
5eabe030002, 1
5eabe060002, 1
5eabee040003, 1
5eabee070003, 1
5eabeh070003, 1
5eabj030003, 1
5eaeae050002, 1
5eaeee030003, 1
5eaeee040003, 1
5eaeeh070003, 1
5eaeehg020002, 1
5eaeehg070002, 1
5eaeen050002, 1
5eai0a050002, 1
5eai1010002, 1
5eaj91050002, 1
5eajaa050002, 1
5eajaa060003, 1
5eajab060002, 1
5eajbb030002, 1
5eajbb080002, 1
5eakb020002, 1
5ebaa030002, 2
5ebaj070003, 1
5ebbae020003, 1
5ebbae060002, 1
5ebbn030002, 1
5ebbn030003, 1
5ebe040002, 1
5ebe050002, 1
5ebe050003, 1
5ebea050002, 2
5ebea060002, 1
5ebea070003, 1
5ebee080003, 2
5ebeh050003, 1
5ebeh060003, 1
5ebej070002, 1
5ebejb040002, 1
5ebejb050002, 3
5ebek040002, 1
5ebek050003, 1
5ebeq010002, 1
5ebeq080003, 1
5ebhg040002, 1
5ebi020002, 2
5ebi050002, 1
5ebia040003, 1
5ebja070002, 1
5ebjb030002, 1
5ebk070003, 1
5ebn5060002, 1
5ebnb050002, 1
5ebne040003, 1
5ebqg020002, 1
5ebqg060002, 1
5eca030002, 1
5ecae060002, 1
5eeaaee070002, 1
5eeaj9030003, 1
5eeake070003, 1
5eeba050003, 1
5eebb080003, 1
5eebe040003, 1
5eebe050003, 1
5eebk030003, 1
5eeee020002, 1
5eeeee050002, 1
5eeeee060006, 1
5eeeee080006, 2
5eeeee090006, 15
5eeeee100006, 16
5eeeee110006, 12
5eeeee120006, 13
5eeeee130006, 9
5eeeee140006, 12
5eeeee150006, 11
5eeeee160006, 8
5eeeee170006, 15
5eeeee180006, 9
5eeeee190006, 11
5eeeee200006, 7
5eeeee210006, 4
5eeeee220006, 1
5eeeee230006, 4
5eeeh040002, 1
5eeeh050003, 1
5eeej040003, 1
5eeen030003, 1
5eeen040002, 3
5eeen060003, 1
5eeene030002, 1
5eeene040003, 1
5eeene060003, 1
5eeene070003, 1
5eeene130006, 1
5eeeq040002, 1
5eeeq5050003, 1
5eefca010002, 1
5eeg020002, 1
5eegek070003, 1
5eegg020002, 1
5eegg050002, 1
5eeggo060002, 1
5eehb030002, 1
5eehe040002, 3
5eehea060003, 1
5eeheh100003, 1
5eehfg030002, 1
5eehfg040002, 2
5eehg040002, 1
5eehn040003, 1
5eehn090003, 1
5eehng040003, 1
5eehng060003, 1
5eejaa030002, 1
5eejaa030003, 1
5eejab050002, 1
5eejba040003, 1
5eejba050003, 1
