class, amount
000001b9l, 1
000001bacl, 1
000001be9lc, 1
000001behq, 1
000001ebaeh, 1
000001ebn8, 1
000001eeaabb, 1
000001eeekb, 1
000001eeepg, 1
000001eegpg, 1
000001eejaaa, 1
000001eenbe, 1
000001eene5, 2
000001eeneee, 2
000001efl6, 1
000001egc9aa, 1
000001egc9af, 1
000001egcffgg, 1
000001egcgof, 1
000001egco7g, 2
000001egcof, 1
000001egcpggg, 1
000001egenee, 1
000001eggbea, 1
000001eggegf, 1
000001eggnh8, 1
000001eggp7c, 1
000001eggqgh, 2
000001eghee, 1
000001egheej, 1
000001egneee, 1
000001egpggg, 1
000001egpghg, 2
000001egq8o, 1
000001egqgg, 1
000001egqh8, 1
000001ehggq, 2
000001ehghn, 2
000001ehnee, 1
000001ejaaaa, 3
000001ejaaba, 1
000001ejabaa, 1
000001eka2e, 1
000001ekbb, 1
000001en2nb, 1
000001en8eh, 1
000001eneeee, 2
000001enhee, 1
000001enheh, 1
000001eq5ee, 1
000001eq8ee, 2
000001eqeh5, 1
000001eqehe, 1
000001eqhge, 1
000001hegfg, 1
000001heqh, 1
000001hhene, 1
000001ja3ic, 1
000001k2ehg, 1
000001k5kab, 1
000001kbbe, 1
000001ke5ne, 1
000001n2ja9, 1
000001n5baca, 1
000001n5bek, 1
000001n5heg, 2
000001n5k5e, 3
000001n5qhe, 2
000001n8ne5, 1
000001nb5ke, 1
000001ne5en2, 1
000001ne5ene, 1
000001ne5hep, 1
000001ne5nee, 1
000001neb5qe, 1
000001nebee, 2
000001neebee, 1
000001neee8, 1
000001neeeee, 9
000001neeeeh, 3
000001neehee, 1
000001nehee, 1
000001neheh, 1
000001nhee, 1
000001nheh5, 2
000001qheh, 1
0000025ehca, 1
0000025eneee, 1
0000025n2en, 1
0000025n5qh, 1
0000025nehe, 1
0000025nhee, 1
000002bbnb, 1
000002e5egpg, 1
000002ebnba, 1
000002ee5nh, 1
000002eebefc, 1
000002eee5ne, 1
000002eeeee5, 1
000002eeeeeb, 1
000002eeeeee, 1
000002egp7gh, 1
000002egq5q, 1
000002ejaa1a, 1
000002ekaab, 1
000002eneeee, 2
000002epghg7, 1
000002eqehh, 1
000002nbeeb, 1
000002neeeee, 2
000002nhe5q, 1
000002nhehe, 1
000002nhehh, 1
000003eeeeee, 1
000003eeeehe, 1
000101egccgl3c, 1
000101ephhh, 1
000101neeee5, 1
000101neeeee, 1
000101qehh, 1
010000eeeeee, 3
010001aaaal, 2
010001aabaae, 1
010001aaeeq, 2
010001aeq5, 1
010001ai9a0, 2
010001alccc, 1
010001b9l, 2
010001be9aa, 1
010001be9lc, 1
010001beaeee, 1
010001behgq, 1
010001bhccl, 1
010001bhfcg, 1
010001bhfpf, 1
010001bja1i, 1
010001blccc, 1
010001bn5hp, 1
010001bnbba, 1
010001eaaeee, 1
010001eaaia, 1
010001eaba9l, 1
010001eabeee, 1
010001eai19, 1
010001eaj99, 1
010001ean5egp, 1
010001ebaac, 1
010001ebaee, 3
010001ebbq, 1
010001ebeab, 1
010001ebeka, 1
010001ebjba, 1
010001ebkaa, 1
010001ebn2ea, 1
010001eeaaba, 1
010001eeajaa, 1
010001eebefc, 1
010001eebejb, 2
010001eebne, 1
010001eeegpf, 1
010001eegcg, 2
010001eegffg, 1
010001eegp8q, 1
010001eegpg7, 1
010001eegqfg, 1
010001eehca, 2
010001eehh, 1
010001eehpgf, 1
010001eej2a, 1
010001eeja1a, 1
010001eejaaa, 2
010001eek5k, 4
010001eek5n, 1
010001eekb2, 2
010001eekbb, 1
010001eekbe, 2
010001eekea2, 1
010001eenbe, 3
010001eepg7g, 1
010001eeq8e, 1
010001eeqee, 1
010001eeqeh, 5
010001eeqg8, 1
010001eeqh5, 1
010001eeqhh, 2
010001efghcl, 1
010001efgqh, 1
010001efq8ge, 2
010001egc99, 3
010001egc9af, 1
010001egc9ao, 1
010001egca, 1
010001egcco7, 1
010001egcfh, 1
010001egcfhg, 2
010001egcgfl, 1
010001egcgpgg, 1
010001egco, 2
010001egco7g, 1
010001egcpggg, 1
010001eggbea, 2
010001eggek2, 1
010001eggenb, 1
010001egggph, 2
010001egggq, 1
010001eggk5n, 1
010001eggp7, 1
010001eggpgg, 2
010001eggqgh, 1
010001egheaj, 2
010001egheej, 2
010001eghfl, 1
010001eghn2, 1
010001eghq8, 1
010001egneee, 1
010001egogfg, 1
010001egpghg, 1
010001egphgg, 1
010001egq7g, 2
010001egq8o, 1
010001egqe5n, 1
010001egqehe, 1
010001egqh8, 1
010001ehbne, 2
010001eheph, 1
010001ehephg, 1
010001ehgeqe, 1
010001ehggf, 2
010001ehggg, 2
010001ehggn, 1
010001ehggq, 3
010001ehghp, 1
010001ehgnee, 1
010001ehgnh, 1
